Date,Open,High,Low,Close,Volume
2020-08-10,11662.2568359375,12045.140625,11662.2568359375,11878.111328125,26114112569
2020-08-11,11881.6474609375,11932.7109375,11195.708984375,11410.525390625,27039782640
2020-08-12,11404.5966796875,11748.396484375,11249.60546875,11584.9345703125,25064548486
2020-08-13,11588.4052734375,11796.396484375,11216.8720703125,11784.1376953125,27522199497
2020-08-14,11772.6591796875,12150.994140625,11685.455078125,11768.87109375,24237958589
2020-08-15,11768.697265625,11963.203125,11768.697265625,11865.6982421875,23354924400
2020-08-16,11866.685546875,11934.9013671875,11737.1884765625,11892.8037109375,20583375490
2020-08-17,11895.658203125,12359.056640625,11806.6962890625,12254.40234375,28227687027
2020-08-18,12251.8955078125,12335.70703125,11954.525390625,11991.2333984375,26043227672
2020-08-19,11990.884765625,12028.923828125,11687.3330078125,11758.283203125,24502851117
2020-08-20,11761.5,11900.4111328125,11710.0634765625,11878.3720703125,20175242945
2020-08-21,11878.0263671875,11899.259765625,11564.9794921875,11592.4892578125,23762425999
2020-08-22,11585.4775390625,11689.4072265625,11448.8056640625,11681.8251953125,20224191306
2020-08-23,11679.6962890625,11713.4296875,11559.9208984375,11664.84765625,18482062658
2020-08-24,11663.689453125,11807.6318359375,11623.25,11774.595703125,20681511755
2020-08-25,11773.5888671875,11778.2998046875,11189.8505859375,11366.134765625,26301509932
2020-08-26,11366.89453125,11530.052734375,11296.9931640625,11488.36328125,22466660958
2020-08-27,11485.6083984375,11570.7861328125,11185.94140625,11323.3974609375,23240415076
2020-08-28,11325.2958984375,11545.615234375,11316.4228515625,11542.5,19807127588
2020-08-29,11541.0546875,11585.640625,11466.29296875,11506.865234375,17485597759
2020-08-30,11508.7138671875,11715.2646484375,11492.3818359375,11711.505859375,19760127945
2020-08-31,11713.306640625,11768.876953125,11598.318359375,11680.8203125,22285928250
2020-09-01,11679.31640625,12067.0810546875,11601.12890625,11970.478515625,27311555343
2020-09-02,11964.8232421875,11964.8232421875,11290.7939453125,11414.0341796875,28037405299
2020-09-03,11407.19140625,11443.0224609375,10182.46484375,10245.296875,31927261555
2020-09-04,10230.365234375,10663.919921875,10207.9404296875,10511.8134765625,29965130374
2020-09-05,10512.5302734375,10581.5712890625,9946.67578125,10169.5673828125,44916565292
2020-09-06,10167.216796875,10353.927734375,10056.8857421875,10280.3515625,37071460174
